REGION-CENTROID-COL REGION-CENTROID-ROW SHORT-LINE-DENSITY-5 SHORT-LINE-DENSITY-2 VEDGE-MEAN VEDGE-SD HEDGE-MEAN HEDGE-SD INTENSITY-MEAN RAWRED-MEAN RAWBLUE-MEAN RAWGREEN-MEAN EXRED-MEAN EXBLUE-MEAN EXGREEN-MEAN VALUE-MEAN SATURATION-MEAN HUE-MEAN Class
-0.656887 -1.521058 -0.357047 -0.194552 -0.496005 -0.123497 -0.379344 -0.129199 1.961697 1.867040 1.979535 2.009979 -2.454030 1.728030 -0.466972 1.985341 -0.790998 -0.663098 2
-1.232697 0.149338 -0.357047 -0.194552 -0.516595 -0.125601 -0.610229 -0.137430 -0.830044 -0.733965 -0.874965 -0.859719 1.546758 -0.980531 0.110272 -0.886138 0.728822 0.358908 1
0.782637 1.280336 2.410668 -0.194552 0.101073 -0.111919 -0.009928 -0.113271 -0.634030 -0.638806 -0.721772 -0.517433 0.472206 -1.105455 1.399451 -0.694533 -0.459231 2.583238 7
-0.985922 -1.225258 -0.357047 -0.194552 -0.331294 -0.117423 -0.363952 -0.132895 1.993719 2.041498 1.976981 1.945801 -1.187593 1.523610 -1.390563 1.982751 -0.991890 -0.488097 2
-0.204465 0.880137 -0.357047 -0.194552 -0.557772 -0.125931 -0.194636 -0.137619 -0.617534 -0.626118 -0.726878 -0.471591 0.424235 -1.236056 1.668831 -0.655694 -0.296142 2.421197 7
-1.561732 -1.068659 -0.357047 -0.194552 -0.372472 -0.116143 -0.471698 -0.133574 0.778822 0.702932 0.930161 0.662230 -1.321912 1.648534 -1.467529 0.921159 -0.456202 -0.492920 4
0.618120 1.141136 -0.357047 -0.194552 0.142251 -0.097816 0.005464 -0.109849 0.368357 0.369876 0.439943 0.277158 -0.285737 0.779750 -1.034596 0.424023 -0.550016 -0.418145 6
-0.848824 1.349935 -0.357047 -0.194552 -0.166583 -0.106850 -0.410129 -0.130816 -0.766970 -0.759341 -0.887731 -0.621341 0.692873 -1.434797 1.736176 -0.782568 0.509543 2.165619 7
-0.122207 -1.207858 -0.357047 -0.194552 -0.475416 -0.117454 -0.194636 -0.124403 1.881156 1.825805 1.882512 1.912183 -2.031884 1.552002 -0.592042 1.886949 -0.852861 -0.630053 2
-0.684307 -0.024661 -0.357047 -0.194552 -0.434239 -0.121966 -0.440914 -0.133588 -0.929021 -0.936970 -0.913263 -0.930010 0.683278 -0.656867 0.427756 -0.948280 2.510764 -0.511781 3
