x1 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x42 x25 x26 x27 x28 x29 x30 x31 x32 x33 x34 Class
0.34843 0.55599 0.31217 0.50052 0.52057 0.36311 0.65020 0.18249 1.07067 0.04901 1.20252 -0.06406 1.46618 -0.28765 1.67013 -0.61249 1.72505 -0.83676 1.54833 -1.14401 1.45650 -1.31587 1.35039 -1.60577 1.20142 -2.22113 0.87258 -1.77990 0.59396 -1.76918 0.27389 -1.89670 0.08438 1
0.34843 -0.32588 -0.38131 -0.33369 -0.52069 0.30681 -0.98289 0.43471 -0.22598 -0.37906 -0.75192 0.15137 0.13432 0.16790 -0.41443 0.06600 0.13200 0.22484 -0.48072 0.34435 0.34261 0.09986 0.26557 0.53677 0.52596 -0.01490 -0.10002 -0.38918 -0.46325 0.21329 0.08781 0.19974 -1.13315 1
-2.86999 -3.30251 2.16791 0.76848 -2.42504 -1.11819 -0.22954 -1.01087 -0.37533 0.93091 -2.33761 0.96443 1.83457 -0.52793 -0.15541 1.00148 -2.00862 -0.57468 0.04635 -0.55290 -0.01603 1.05742 2.00759 -2.41702 2.10959 0.88921 -1.69409 -2.39703 2.02643 -2.37005 -1.94252 -0.66938 -0.03096 2
0.34843 -0.51536 0.25242 -0.36334 -0.09118 -0.58035 0.23440 -0.54980 -0.10151 -0.50051 0.19809 -0.25054 0.55899 -0.39066 0.34615 -0.68195 0.75247 -0.49380 0.52679 -0.14396 0.17197 -0.47214 0.67783 -0.72897 0.70112 -1.16764 0.60465 -0.91521 0.34651 -0.78137 0.61437 -1.03469 0.58473 2
0.34843 0.52797 -0.13705 0.76848 -0.07754 0.91453 -0.19869 0.82678 -0.36426 0.81687 -0.34624 0.96443 -0.18903 1.00605 -0.01521 1.00148 0.10432 0.88755 0.12888 1.03655 0.02531 1.03967 0.07854 0.98063 0.24552 0.83050 0.20766 0.86697 0.07611 1.13461 0.18466 1.20564 0.10625 1
0.34843 -0.89876 0.02921 -1.07699 0.29560 -1.33278 0.71018 -1.37270 -0.75452 -1.59240 -0.19018 -1.37615 -0.00367 -0.77969 -0.82250 -0.78588 -0.79292 -0.27563 -0.29237 0.00562 -0.24704 -0.12641 -0.19537 -0.31107 0.62648 -0.97486 0.69270 -0.72447 0.57421 -0.91201 0.33487 -1.24712 -0.74916 1
0.34843 0.51217 0.79057 0.11601 1.30859 -0.51811 1.51705 -1.10541 1.57878 -1.65887 1.39849 -1.89506 0.99500 -1.95176 0.39369 -2.11422 -0.30145 -1.79098 -0.88748 -1.38927 -1.48865 -0.84827 -1.57300 -0.31218 -1.54764 -0.01814 -1.12226 0.64343 -0.74648 0.83920 -0.12966 0.80330 0.56617 1
0.34843 -0.26564 -2.23303 0.76848 0.32857 -1.18974 -2.15258 0.96407 -2.44503 -0.06990 -2.33761 -0.64510 -0.18903 -2.06192 -0.90401 -1.22948 0.08033 1.02436 -1.88290 -0.55290 -0.01603 -0.60121 0.10899 -0.96717 1.95669 -0.27959 0.60911 -0.65809 0.05502 1.13461 0.45954 -0.66938 -0.03096 2
0.34843 0.72165 -0.02060 0.76848 0.14543 0.91453 0.28907 0.96407 0.14350 0.93091 0.26864 0.96443 0.59295 1.00605 0.53659 1.00148 1.33176 1.02436 1.08517 1.08924 1.16804 1.05742 1.23784 0.86526 1.48581 0.68555 1.42611 0.83063 1.37880 0.68582 1.67674 0.70043 1.59063 1
0.34843 -0.63069 0.14984 -0.85022 0.38507 -0.83320 1.20285 -1.50720 1.52865 -1.13954 0.22586 -1.67060 0.31414 -2.02587 -0.16277 -0.99527 -0.39406 -1.06274 -0.89678 -0.78980 -1.75523 -0.44621 -0.44001 -0.19574 -0.22532 -0.28256 -0.08274 -0.11893 0.16569 -0.24197 0.40791 -0.41310 0.53401 1
0.34843 0.64292 0.09489 0.70606 0.16712 0.83375 0.29836 0.92544 0.35014 0.80415 0.62287 0.74336 0.87370 0.74251 1.12910 0.56790 1.39958 0.52871 1.45740 0.34162 1.31401 0.20055 1.55567 0.01734 1.61112 -0.40280 1.65228 -0.22433 1.75164 -0.37667 1.70061 -0.49602 1.81404 1
0.34843 0.62511 -0.04953 0.64822 -0.27949 0.78293 -0.20619 0.89900 -0.41122 0.87646 -0.30325 0.89466 -0.25104 0.93334 -0.16425 0.99305 -0.04631 1.02067 0.08092 0.98388 -0.11210 0.95483 0.06399 0.99439 0.05254 0.81578 0.09662 1.03561 0.09263 1.05460 -0.05909 1.16688 -0.01366 1
0.34843 0.72165 -0.06189 0.69557 -0.32013 0.91453 -0.29561 0.96407 -0.48029 0.91360 -0.45731 0.95112 -0.37120 1.00605 -0.49900 1.00148 -0.28012 0.99734 -0.18155 1.08924 -0.37394 1.05742 -0.25691 1.02761 -0.29471 0.82112 -0.24196 0.98692 -0.28255 1.07216 -0.43252 0.99775 -0.52909 1
0.34843 -0.26011 2.16791 0.76848 0.91754 0.32866 1.32492 -0.10986 0.58557 -0.25835 1.71006 -0.30309 1.83457 -0.79509 2.02935 -1.15494 1.99744 -1.55620 1.97560 -1.41789 1.36965 -2.06910 1.01831 -2.41702 0.83293 -2.99075 0.30083 -2.39703 -0.27447 -2.37005 -0.81597 -2.43025 -1.43274 1
0.34843 -0.34908 0.15587 -0.02171 -0.23740 0.00859 -0.09735 -0.06499 -0.66445 0.09552 -0.28686 0.38271 -0.51657 0.51286 -0.22807 0.26493 -0.26536 0.27270 -0.04348 0.23359 -0.39313 0.24097 -0.14779 0.03202 -0.25717 -0.00454 -0.08195 0.38296 -0.00180 0.32256 -0.22176 0.40969 -0.12579 1
0.34843 0.72165 -0.12518 0.76848 -0.31059 0.91453 -0.35426 0.86799 -0.40890 0.91170 -0.37941 0.94703 -0.01401 1.00605 -0.29711 0.92265 0.19253 0.98979 0.03591 1.08924 0.10932 1.05742 0.19109 1.00800 0.32116 0.86120 0.14938 1.08084 -0.00892 1.13461 0.06010 1.24662 -0.18122 1
0.34843 0.71451 0.04607 0.76848 -0.27871 0.87003 -0.18150 0.88729 -0.32748 0.91801 -0.15576 0.79258 0.02033 0.91726 -0.04029 0.82014 0.23146 0.80216 0.21286 0.78763 0.21260 0.78653 0.38319 0.72219 0.40433 0.49105 0.37491 0.71758 0.35820 0.73371 0.31802 0.68985 0.22595 1
