FLength FWidth FSize FConc FConc1 FAsym FM3Long FM3Trans FAlpha FDist Class
-0.70906 -0.62174 -1.22627 0.96534 0.80847 -0.32403 -0.58554 -0.50278 -0.76201 -1.05598 1
-0.35395 -0.61532 -0.50576 0.11910 0.06464 0.76523 0.46898 -0.50911 -1.01142 -0.21483 1
-0.35789 0.31131 0.30996 -0.84201 -0.82670 -0.01607 -0.01768 -0.86834 -0.15943 -0.78275 1
-0.25182 -0.28938 0.40941 -0.61281 -0.13897 0.11239 0.18910 0.36659 0.15598 -1.39822 2
1.20819 1.03039 0.52410 -0.65165 -0.64662 1.68824 1.52100 1.68288 -0.16278 1.78882 2
-0.73038 -0.73211 -0.90379 1.35482 1.04375 0.14596 -0.52024 0.50526 -0.88590 -0.29789 1
-0.52217 -0.26490 -0.09610 -0.39017 -0.34167 0.41350 0.09808 -0.66627 -0.83989 0.47637 1
-0.42058 -0.51768 -0.17461 0.30400 0.16418 0.52779 0.55000 -0.20817 0.17223 -0.93613 2
0.22051 0.63351 1.49197 -0.90547 -0.80408 -0.99143 0.56833 0.52254 -0.88583 1.40916 1
-0.12668 -0.09894 0.40243 -0.26272 -0.10187 -0.97406 0.49720 0.14089 -0.62732 1.03949 2
0.21698 -0.43226 0.51331 -0.73699 -0.67649 0.50483 0.43490 -0.49503 -1.03137 0.18999 1
-0.85957 -0.59072 -1.00874 1.08405 1.04013 0.05354 -0.09678 -0.29285 0.45161 0.56058 1
0.06919 -0.18106 0.43586 -0.93446 -0.72535 0.99006 0.49242 0.50281 -0.77875 0.13185 1
5.53588 0.71314 0.15105 0.09941 0.53972 -6.06384 3.69933 0.80621 -0.10464 -0.84991 2
-0.94381 -0.64221 -1.41375 2.26507 2.31425 0.30192 -0.09285 0.52918 -0.05964 -0.32743 1
-0.35835 -0.31100 -0.11155 0.48834 1.01570 0.46628 0.47516 -1.01115 0.36717 0.50226 2
-0.60337 -0.65413 -0.89088 0.35815 0.14608 0.65065 0.21696 -0.36223 -0.62999 -0.95938 1
-0.30991 -0.36092 0.05286 -0.36501 -0.44030 0.75009 0.38329 0.45504 -0.68033 0.04777 1
2.68666 0.18482 0.18723 -0.35188 -0.16974 -2.56013 1.55051 -0.64575 -0.88725 1.46096 1
2.27786 3.28820 2.81850 -1.89393 -1.67008 -0.85983 -3.38573 4.82135 -0.26984 -1.53494 2
-0.78673 -0.51291 -0.56480 0.91557 1.32428 0.30684 0.09043 0.37072 -0.73853 0.50199 1
0.22280 0.02350 0.89842 -0.94431 -0.96153 -1.63132 -0.70588 0.78320 -0.93954 0.48107 1
0.65367 0.24904 1.40796 -1.33707 -1.11808 -0.84318 -1.55255 -0.95151 1.98145 0.68548 2
-0.94393 -0.62503 -1.46665 2.19888 1.76406 0.32176 -0.15841 -0.58105 1.56911 -1.15037 1
-0.49090 -0.91109 -0.59845 1.57801 2.39931 0.48830 0.16329 -0.04031 -0.51410 -1.45616 2
-0.87873 -0.58490 -0.79947 1.33841 1.62833 0.11456 -0.30120 0.36742 -0.31285 -1.06759 1
0.50288 -0.15773 -0.62934 -0.29499 -0.29099 -0.80210 -1.48072 0.10977 -0.52985 -0.45515 1
-0.52989 -0.58930 -0.30961 0.36581 0.70441 0.01805 -0.82533 0.14728 1.93054 0.73944 2
-0.82339 -0.63658 -1.30244 0.95878 0.76685 0.07907 -0.29923 -0.27286 1.35764 -1.04170 1
0.72762 0.23740 0.99407 -1.37044 -1.40404 1.41317 1.06435 -0.64675 0.30472 -0.13916 2
4.52753 1.88494 2.75438 -1.67786 -1.59135 -3.93682 -3.93485 -2.05612 1.71021 -0.25617 2
-0.96060 -0.56096 -1.62133 1.69398 1.41658 0.34844 -0.40430 -0.34788 1.89256 -0.70208 1
-0.76867 -0.37623 -0.23851 -0.17957 -0.41406 0.51223 0.11617 -0.12981 -0.66871 -0.03350 2
-0.78470 -0.50833 -0.99033 0.92541 0.54334 -0.22110 -0.32501 -0.38473 1.18482 -0.82849 2
0.45383 2.15142 0.62504 -1.28784 -1.22667 0.11895 -0.73305 -3.40590 2.19029 -0.53073 2
-0.95046 -0.69694 -1.17294 2.46582 3.32232 0.25639 -0.01669 0.46322 0.11908 -1.41986 1
0.33422 0.33830 1.11743 -1.02745 -1.03302 -0.51311 0.96610 0.90295 -1.01122 1.50197 1
-0.76103 -0.51433 -1.04450 0.26570 0.10355 0.33945 -0.02201 0.41921 -0.97881 -0.37707 1
-0.33056 0.11539 0.75475 -0.73042 -0.61133 0.35421 0.31739 0.24559 -0.35389 -0.37863 1
0.05307 0.25288 0.42042 -1.02362 -1.04660 0.19324 0.79123 0.48584 -0.82097 0.63990 1
-0.04689 -0.56531 0.44263 -0.37158 -0.52446 0.57162 -0.69390 0.13527 1.90064 -0.51904 2
0.79836 -0.11540 0.76702 -0.64180 -0.52356 -0.61132 0.94914 0.86017 0.14452 1.62947 2
-0.05068 0.50926 1.96849 -1.29166 -1.28187 0.61820 0.36293 0.99669 -0.93289 -0.71241 1
-0.85621 -0.59747 -1.11327 1.05341 1.17225 0.07820 -0.27685 0.29841 1.45383 -1.73846 1
1.52786 0.16550 0.55796 -0.92078 -0.94977 0.85508 2.28871 -0.77102 -0.82495 0.82777 2
0.37852 -0.34645 0.25071 -0.44159 -0.46926 1.04253 0.67219 0.55346 0.20706 1.07056 2
0.74168 -0.42101 -0.36251 0.33572 0.53791 -1.18171 -0.80946 -0.42638 -0.96512 1.50287 1
1.44524 -0.63461 -0.54597 0.54359 0.37502 1.68293 1.60025 -0.38580 -1.01425 0.67957 1
-0.48100 -0.14240 0.12290 -0.40494 -0.31362 0.28518 0.19153 0.44938 -0.76707 -0.40316 1
-0.69236 -0.19542 -0.09991 -0.15496 -0.16883 0.05359 -0.50690 -0.53127 -0.02112 -0.87886 1
2.40776 5.10597 3.00280 -1.72928 -1.52801 -2.24507 -2.08616 4.16082 1.19068 2.08357 2
0.25767 -0.09264 0.41153 -0.60570 -0.45026 0.56422 0.84836 0.44366 -0.91104 0.69240 1
0.08166 0.35949 0.84637 -1.14014 -1.21581 2.10966 -0.60916 0.10819 -1.05143 0.14794 2
-0.11021 -0.35002 0.44137 -0.28843 -0.33895 0.78138 0.74057 0.43693 -0.69898 0.96751 1
-0.50390 0.07328 -0.02204 -0.66368 -0.72897 -0.37159 -0.55669 0.63573 0.55036 -1.07720 1
-0.71045 -0.06422 -0.03918 -0.09916 -0.12720 0.54707 0.17887 0.78318 -0.00095 -1.54001 1
-0.74532 -0.36090 -0.81618 0.36636 0.57501 0.47949 0.10809 0.01548 0.19531 -1.62074 1
-0.63505 -0.31781 -0.28718 -0.05594 -0.24937 0.65109 0.21257 -0.35036 -0.62407 -0.69169 1
