A1 A2 A3 A4 A5 A6 A7 A8 A9 A10 A11 A12 A13 A14 A15 A16 A17 A18 A19 A20 Class
0.08085 1.79572 -0.35481 0.78456 -1.78158 0.39807 -0.71929 0.77442 -1.55922 -1.90492 -0.98018 -0.52676 -2.05888 -0.57086 0.23364 -0.44161 1.77569 -2.18398 0.64358 2.98165 0
-0.10955 -0.03590 -0.14935 1.37769 -1.28620 -2.03194 1.01079 -0.32351 -1.06924 -0.17583 -1.16544 3.02642 -1.87968 -1.86399 -0.15486 0.26187 -0.08885 -1.62942 0.01822 -0.01678 0
-0.44999 0.80654 0.24409 -0.17896 1.12223 -0.08516 0.99236 0.83789 0.32185 0.52255 -0.10859 0.62726 0.53522 -0.30699 0.16258 1.05206 -0.17265 -0.36092 1.51432 0.96517 1
-0.14857 -0.96238 -1.44308 -0.14138 -0.39277 -0.35024 -1.55241 -0.13715 -0.02870 0.00214 0.98585 -1.72733 0.30048 -0.18313 -0.12896 0.52067 0.05798 -0.35896 0.34789 2.72150 0
0.37622 0.81254 -0.24657 -0.48761 -0.05111 0.37758 -0.15269 -0.45181 -1.02494 0.00685 0.65423 -0.05185 1.10390 -0.40056 0.55242 0.07664 -0.40128 -0.00493 -0.26387 -0.12933 1
0.64265 -0.22933 -1.08400 -0.91099 -1.27882 1.20323 -1.52872 -0.57673 0.57140 0.11471 0.82169 2.62667 0.01151 0.01747 -1.70423 -1.33887 -2.53534 -1.76659 0.52666 -1.99079 0
-1.19614 -1.41996 0.17927 -0.15548 -0.94991 -2.78951 -0.64887 -0.16889 -1.22432 -2.03368 1.25485 3.21931 -0.61007 -1.62973 -0.96906 -0.77529 0.13576 -1.09772 0.76593 -1.29999 0
0.61843 -0.41276 -0.17462 0.77986 -0.01486 -0.14663 0.02039 -0.45181 1.42820 -0.10977 -0.08353 -0.98903 0.48563 -0.99764 -0.12564 -0.21172 0.21889 0.52350 -0.04091 0.19754 1
0.39304 1.54626 0.83068 0.52757 -0.13770 0.80924 0.72124 0.30378 0.76947 0.08977 0.59555 -0.23742 0.36197 -0.18582 0.37444 1.18803 -1.22192 -0.08135 -1.10402 0.62280 1
-1.66037 -0.11794 0.48521 0.03575 -0.08131 -0.39651 0.02763 -0.69084 -0.36881 0.03382 0.25601 -1.15465 -0.83225 -0.30699 -0.58188 1.76146 -0.07678 -0.17541 2.39253 -0.13135 0
-0.31812 0.76185 0.86957 -0.96198 -0.76464 -0.43419 0.14871 1.82913 -0.11796 -0.14684 3.54856 -2.46830 -0.03742 -1.40019 -0.22858 0.53381 0.88466 -1.80513 0.66737 -2.47065 0
-0.16809 -0.80764 -1.03344 -1.72555 1.98344 -0.13011 -0.35406 0.80548 -1.73645 0.58254 -0.13496 -1.92621 1.45569 0.07604 2.38470 0.60737 -0.14651 0.64565 -0.05587 -0.22436 0
-0.63569 -0.80964 -0.03462 0.33232 0.75775 -0.10367 0.17306 0.09243 -0.84445 -0.61535 -0.46197 -0.96774 0.13649 0.01680 -0.24916 0.09503 -1.37679 0.19691 0.07328 0.02905 1
