A1 A2 A3 A4 A5 A6 A7 A8 A9 A10 A11 A12 A13 A14 A15 A16 A17 A18 A19 A20 A21 A22 A23 A24 A25 A26 A27 A28 A29 A30 A31 A32 A33 A34 A35 A36 A37 A38 A39 A40 Class
-0.14109 0.25150 0.44614 0.78046 0.54531 0.41423 0.31287 -0.03096 0.43515 0.39422 -0.14109 0.61717 1.01224 0.95699 1.01066 1.12390 0.89060 1.01915 0.94665 1.06536 -0.14109 0.71309 2.27670 1.20936 2.12968 1.95980 1.03578 2.18829 2.07505 2.57656 -0.14109 0.91666 1.25581 1.06544 1.15433 1.21749 1.27704 1.18927 1.19632 1.41274 13
0.99469 1.21978 0.25792 1.20621 0.94372 0.78729 1.07192 0.66582 0.58767 0.06367 0.99469 1.02091 0.08581 1.25203 0.39060 0.03986 0.48139 0.20963 0.20674 0.02326 0.99469 0.34367 0.71445 0.31747 0.46304 0.43261 0.21483 0.54899 0.59412 0.75333 0.99469 0.75795 0.16312 0.51724 0.30080 -0.14431 0.84435 0.56407 0.54608 0.54889 14
0.68494 0.92297 -0.24931 0.77177 0.57074 0.81875 0.46767 0.20432 0.40126 -0.34644 0.68494 0.46151 -0.20222 0.57560 0.08826 0.02096 -0.12219 -0.11589 -0.01922 -0.26095 0.68494 -0.17442 0.51689 -0.38923 -0.05705 -0.12816 -0.33831 -0.07238 -0.03944 0.57867 0.68494 0.52518 0.29025 0.02455 0.37887 0.02004 0.19837 0.45039 0.47659 0.37418 14
2.66149 2.71843 0.76834 1.73622 1.23193 0.32883 0.90712 0.53008 0.09621 -0.42908 2.66149 2.69910 1.10132 3.03667 1.50261 0.61970 1.28958 0.85639 0.49916 0.04048 2.66149 2.15925 2.43779 1.81781 2.49611 2.43308 2.01915 2.51533 2.53834 2.49995 2.66149 1.64673 0.74730 1.67609 0.55062 -0.04453 2.30086 0.90509 0.81909 0.87243 14
0.76852 -0.40051 -0.09618 -0.17095 -0.17521 0.00521 0.01824 -0.10335 0.09198 0.24119 0.76852 -0.20004 -0.19034 0.25897 -0.16284 0.14701 -0.07615 -0.34290 -0.27176 -0.36717 0.76852 0.38872 0.18863 0.29102 0.20299 0.15421 0.32898 0.24239 0.27734 0.25692 0.76852 0.05962 0.15707 0.26743 0.35285 0.65986 -0.06978 -0.01378 -0.07934 -0.29231 9
1.58963 0.34395 0.52908 0.62406 0.34611 0.68391 0.76230 0.54818 0.60038 0.78291 1.58963 0.51502 0.43916 1.28082 0.86205 1.64701 0.49674 0.44092 0.53904 0.34766 1.58963 0.96088 0.34060 0.96749 0.63640 0.84225 0.98748 0.58170 0.74459 0.43465 1.58963 0.89021 0.23879 1.30831 0.41530 0.44267 0.78950 0.13305 0.02986 -0.21466 9
0.96519 0.48019 0.22283 0.66316 0.27829 0.42322 0.73734 0.30386 0.52836 0.37585 0.96519 0.41773 0.59356 0.89943 0.68269 0.97894 0.54277 0.56513 0.56119 0.36775 0.96519 1.30777 0.44090 1.00151 0.75066 0.71100 1.22016 1.11314 0.91485 0.44384 0.96519 1.17589 0.78059 1.34995 1.01902 0.85943 1.07593 0.97140 0.87369 0.60066 8
0.02609 0.32935 0.52270 0.30693 0.54955 0.31085 0.38777 0.72012 0.56649 0.54725 0.02609 0.30099 0.67671 0.41009 0.68782 0.88440 0.17960 0.50945 0.53018 0.55149 0.02609 0.37971 0.33452 0.28724 0.35666 0.34909 0.22362 0.40183 0.40801 0.35192 0.02609 -0.07264 0.73519 0.14946 0.72236 1.18814 -0.03321 0.44092 0.53616 0.49065 10
-1.27686 -2.60470 -1.93051 -2.76020 -2.77759 -3.07815 -2.64842 -2.69140 -2.82712 -1.92876 -1.27686 -1.84905 -1.84130 -2.11574 -2.02302 -1.90131 -1.78972 -1.81630 -1.84463 -1.69348 -1.27686 -1.39531 -1.22165 -1.38694 -1.49517 -1.58775 -1.38754 -1.33967 -1.48473 -1.22311 -1.27686 -2.32634 -1.68628 -2.73032 -2.27539 -1.99919 -2.40994 -2.16411 -2.26335 -1.78382 4
6.43267 3.16122 1.02674 3.06994 1.82955 1.34013 3.97827 2.26299 1.89682 1.05530 6.43267 3.12230 1.40123 2.77041 1.04141 0.27936 1.98524 0.85639 0.58777 0.35627 6.43267 4.06492 0.84210 3.63182 1.91298 1.85640 4.49953 2.17194 2.09089 1.31409 6.43267 4.51941 2.54222 4.49342 3.10080 2.70844 3.31859 2.46811 2.10468 1.32215 10
